title,region,price,square,floor
整租·家益佳禾园E区2室1厅南,江北-南桥寺-家益佳禾园E区,1500元/月,70.00㎡,高楼层（33层）
整租·祥瑞新城2室1厅东,九龙坡-杨家坪-祥瑞新城,1600元/月,64.00㎡,高楼层（34层）
整租·天骄名城一期2室1厅北,沙坪坝-大学城-天骄名城一期,1500元/月,70.00㎡,高楼层（33层）
整租·富力城时光里1室1厅南,沙坪坝-大学城-富力城时光里,1200元/月,48.39㎡,高楼层（23层）
整租·贝蒙·松藻中心2室1厅东南/南,南岸-南坪-贝蒙·松藻中心,3000元/月,40.00㎡,高楼层（24层）
整租·中海紫御江山紫峰2室2厅西北,江北-江北嘴-中海紫御江山紫峰,3500元/月,93.00㎡,中楼层（48层）
整租·鲁能星城十二街区2室1厅南,江北-龙头寺-鲁能星城十二街区,2150元/月,81.48㎡,中楼层（33层）
整租·半山华府2室1厅南,江北-观音桥-半山华府,2600元/月,81.00㎡,中楼层（28层）
整租·平常人家2室1厅东南,江北-观音桥-平常人家,2500元/月,85.00㎡,中楼层（24层）
整租·金科时代中心1室0厅南,渝北-照母山-金科时代中心,1500元/月,36.52㎡,低楼层（30层）
整租·龙湖时代天街2室1厅东南,渝中-大坪-龙湖时代天街,3400元/月,81.00㎡,中楼层（31层）
整租·康桥融府1室1厅东南/南,渝北-照母山-康桥融府,1600元/月,34.00㎡,中楼层（29层）
整租·龙湖两江新宸乐蜀2室1厅东南,渝北-礼嘉-龙湖两江新宸乐蜀,1000元/月,77.00㎡,低楼层（35层）
整租·中交锦悦4室2厅南,巴南-龙洲湾-中交锦悦,15000元/月,120.00㎡,低楼层（5层）
整租·万科锦尚2室1厅东,渝中-大坪-万科锦尚,2100元/月,66.09㎡,中楼层（23层）
整租·新鸥鹏教育城一期3室1厅东南,江北-五里店-新鸥鹏教育城一期,2900元/月,84.00㎡,低楼层（31层）
整租·金茂国际生态新城锦悦3室1厅西,渝北-中央公园-金茂国际生态新城锦悦,2500元/月,78.00㎡,高楼层（37层）
整租·金城地豪3室2厅南/北,渝北-新牌坊-金城地豪,2800元/月,123.50㎡,低楼层（28层）
整租·晋愉盛世融城2室1厅东南,大渡口-巴国城-晋愉盛世融城,1800元/月,85.00㎡,高楼层（33层）
整租·鲁能星城星城汇1室1厅南,渝北-龙头寺-鲁能星城星城汇,1550元/月,35.00㎡,高楼层（24层）
整租·华润二十四城三期1室1厅东南,九龙坡-谢家湾-华润二十四城三期,2300元/月,44.00㎡,中楼层（42层）
整租·协信天骄城3室2厅东南,九龙坡-彩云湖-协信天骄城,2500元/月,94.00㎡,高楼层（31层）
整租·鲁能领秀城4街区（北区）4室2厅南,南岸-茶园新区-鲁能领秀城4街区（北区）,1200元/月,111.86㎡,低楼层（23层）
整租·龙湖睿城1室1厅南,沙坪坝-大学城-龙湖睿城,1100元/月,47.00㎡,低楼层（22层）
整租·光华可乐小镇B区2室1厅南,江北-南桥寺-光华可乐小镇B区,2200元/月,73.00㎡,高楼层（32层）
整租·阳光1001室1厅南,江北-五里店-阳光100,1800元/月,58.00㎡,中楼层（31层）
整租·万科城三期3室2厅东南,渝北-照母山-万科城三期,2900元/月,104.00㎡,高楼层（33层）
整租·如恩岁月1室1厅东南,南岸-丹龙路-如恩岁月,1400元/月,38.00㎡,中楼层（31层）
整租·重庆天地翡翠天麓3室2厅北,渝中-化龙桥-重庆天地翡翠天麓,3500元/月,99.00㎡,低楼层（49层）
整租·同创国际3室1厅南,江北-观音桥-同创国际,3500元/月,97.00㎡,低楼层（26层）
title,region,price,square,floor
整租·龙锦苑2室1厅东,南岸-南坪-龙锦苑,2200元/月,87.70㎡,高楼层（31层）
整租·恒大山水城3室2厅南,渝北-照母山-恒大山水城,2400元/月,89.00㎡,高楼层（32层）
整租·保利香雪3室1厅东南,江北-南桥寺-保利香雪,3000元/月,97.00㎡,低楼层（32层）
整租·启迪协信城立方1室1厅南,沙坪坝-大学城-启迪协信城立方,1500元/月,38.00㎡,高楼层（21层）
整租·约克郡2室1厅东北,渝北-照母山-约克郡,1600元/月,85.76㎡,高楼层（33层）
整租·学府大道69号美梦城真3室2厅北,南岸-七公里-学府大道69号美梦城真,2100元/月,88.00㎡,中楼层（34层）
整租·银翔翡翠谷B区3室2厅南,南岸-茶园新区-银翔翡翠谷B区,2000元/月,95.82㎡,低楼层（27层）
整租·鲁能星城十三街区2室1厅东南,江北-海尔路-鲁能星城十三街区,2100元/月,65.00㎡,低楼层（32层）
整租·同景国际城W组团2室1厅跃层东南,南岸-茶园新区-同景国际城W组团,1300元/月,43.00㎡,中楼层（18层）
整租·渝开发上城时代2室1厅东南/南,巴南-鱼洞-渝开发上城时代,1500元/月,65.00㎡,低楼层（27层）
整租·正源福源2室2厅南,北碚-蔡家-正源福源,1600元/月,66.00㎡,中楼层（8层）
整租·春城斓山3室2厅西南,渝北-人和-春城斓山,1500元/月,144.00㎡,高楼层（24层）
整租·金科廊桥水乡E区2室2厅东南,沙坪坝-大学城-金科廊桥水乡E区,1300元/月,67.00㎡,中楼层（30层）
整租·东方巴塞2室1厅东,渝中-大坪-东方巴塞,1600元/月,42.34㎡,低楼层（34层）
整租·保利观澜漫城3室1厅东/东南,江北-海尔路-保利观澜漫城,2700元/月,80.00㎡,低楼层（30层）
整租·雍江悦庭2室1厅南,渝中-化龙桥-雍江悦庭,3000元/月,84.00㎡,低楼层（33层）
整租·新华村2室1厅东南,沙坪坝-沙正街-新华村,1300元/月,69.56㎡,低楼层（18层）
整租·重庆湾1号1室0厅西南,南岸-南滨路-重庆湾1号,1100元/月,37.00㎡,低楼层（34层）
整租·龙湖好望山5室3厅跃层南,渝北-汽博中心-龙湖好望山,13500元/月,314.00㎡,中楼层（5层）
整租·龙湖佰乐街1室1厅跃层南,渝北-嘉州-龙湖佰乐街,2200元/月,31.00㎡,高楼层（19层）
整租·国兴北岸江山3室2厅南,江北-北滨路-国兴北岸江山,3500元/月,109.00㎡,中楼层（43层）
整租·恒大山水城3室1厅南,渝北-照母山-恒大山水城,2300元/月,95.46㎡,高楼层（18层）
整租·协信天骄公园4室2厅南,渝北-大竹林-协信天骄公园,2000元/月,130.00㎡,低楼层（27层）
整租·爱加西西里3室2厅北,渝北-汽博中心-爱加西西里,3800元/月,130.00㎡,中楼层（26层）
整租·恒大山水城3室2厅东南,渝北-照母山-恒大山水城,2400元/月,89.89㎡,中楼层（32层）
整租·鲁能星城九街区2室2厅南,江北-龙头寺-鲁能星城九街区,2500元/月,92.60㎡,低楼层（31层）
整租·蓝光中央广场3室2厅东,大渡口-步行街-蓝光中央广场,2750元/月,81.03㎡,低楼层（37层）
整租·万锦汇1室1厅南,渝中-大坪-万锦汇,2800元/月,69.00㎡,高楼层（44层）
整租·御景天成2室1厅东南,江北-黄泥磅-御景天成,2500元/月,84.00㎡,中楼层（32层）
整租·珠江太阳城A区2室2厅南,江北-北滨路-珠江太阳城A区,2500元/月,90.12㎡,低楼层（32层）
